Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Profit_Per_Ha_INR,Cost_Per_Ha_INR,Revenue_Per_Ha_INR
SF10045,Madhya Pradesh,Krishna,Wheat,Kharif,14.23,853.7,28.2,77.6,6.9,7.04,31.8,109.5,61.7,148.7,Drip,163.7,4.26,0.85,3.35,47.67,23547,980255,1122485.0,142230.0,5966,7.99,55.4,9995.08,68886.51,78881.59
SF10046,Telangana,Erode,Wheat,Kharif,2.14,485.7,28.0,80.1,7.2,8.08,34.7,111.0,56.6,74.9,Drip,146.2,4.25,0.95,0.32,0.68,25224,116463,17152.0,-99311.0,791,0.86,49.4,-46407.01,54421.96,8014.95
SF10047,Andhra Pradesh,Nalgonda,Groundnut,Kharif,5.6,728.5,27.0,76.7,6.9,6.36,27.4,92.2,72.7,80.9,Sprinkler,194.0,4.7,0.71,2.63,14.73,53568,337133,789057.0,451924.0,3052,4.826,63.2,80700.71,60202.32,140903.04
SF10048,Punjab,Ludhiana,Sugarcane,Zaid,7.68,90.0,31.9,52.7,9.8,6.51,18.3,164.0,59.6,54.9,Sprinkler,136.9,8.04,0.76,36.69,281.78,3682,480826,1037514.0,556688.0,13263,21.246,30.0,72485.42,62607.55,135092.97
SF10049,Andhra Pradesh,Erode,Chilli,Zaid,5.52,91.3,34.1,63.0,7.2,5.55,20.9,124.8,75.2,130.8,Rainfed,207.3,4.96,0.87,0.3,1.66,102697,376564,170477.0,-206087.0,1257,1.321,43.9,-37334.6,68218.12,30883.51
SF10050,Madhya Pradesh,Erode,Rice,Rabi,8.8,792.2,21.5,51.4,8.0,7.8,21.8,104.1,61.9,82.3,Flood,223.7,6.7,0.7,0.76,6.69,19703,741670,131813.0,-609857.0,15881,0.421,53.6,-69301.93,84280.68,14978.75
SF10051,Telangana,Warangal,Rice,Zaid,9.82,227.2,29.5,63.5,7.6,6.81,17.8,122.5,54.9,97.0,Flood,162.7,0.62,0.78,2.87,28.18,21316,534995,600685.0,65690.0,16682,1.689,49.4,6689.41,54480.14,61169.55
SF10052,Andhra Pradesh,Rajkot,Pulses,Rabi,8.61,80.0,24.8,60.9,7.5,5.43,28.0,107.1,46.4,137.6,Sprinkler,178.1,4.92,1.0,0.3,2.58,71065,492155,183348.0,-308807.0,3106,0.831,40.2,-35866.09,57160.86,21294.77
SF10053,Gujarat,Indore,Rice,Zaid,11.52,206.2,34.3,50.3,10.0,7.01,32.7,106.7,50.4,98.1,Flood,112.7,6.15,0.87,1.69,19.47,19275,674473,375284.0,-299189.0,20211,0.963,18.9,-25971.27,58548.0,32576.74
SF10054,Telangana,Nalgonda,Maize,Kharif,3.18,591.2,28.1,63.9,6.8,5.66,30.8,126.9,27.6,137.7,Flood,289.5,5.4,0.77,1.11,3.53,17359,254223,61277.0,-192946.0,2327,1.517,39.8,-60674.84,79944.34,19269.5
SF10055,Andhra Pradesh,Raichur,Rice,Rabi,7.08,460.0,22.8,57.4,8.5,7.14,19.2,125.2,30.8,126.7,Flood,115.3,6.38,0.94,2.92,20.67,24229,591425,500813.0,-90612.0,16012,1.291,29.2,-12798.31,83534.6,70736.3
SF10056,Karnataka,Warangal,Groundnut,Rabi,11.7,167.3,26.2,62.4,6.8,6.3,21.8,122.8,27.7,135.0,Drip,240.5,5.39,0.94,1.29,15.09,50837,780159,767130.0,-13029.0,4665,3.235,39.4,-1113.59,66680.26,65566.67
SF10057,Telangana,Nashik,Pulses,Rabi,6.91,489.4,24.0,67.2,9.1,6.46,31.0,121.2,55.7,107.5,Drip,212.0,6.15,0.87,1.49,10.3,70845,462116,729704.0,267588.0,2165,4.758,34.5,38724.75,66876.41,105601.16
SF10058,Telangana,Nashik,Maize,Zaid,7.06,336.9,29.4,62.0,9.0,7.53,11.3,152.4,63.1,106.1,Rainfed,116.8,4.01,0.86,1.16,8.19,22633,430059,185364.0,-244695.0,2031,4.032,33.3,-34659.35,60914.87,26255.52
SF10059,Madhya Pradesh,Raichur,Maize,Zaid,6.62,278.1,31.1,59.3,8.3,7.55,19.1,129.3,82.0,47.0,Flood,168.0,2.1,0.89,1.34,8.87,18651,455124,165434.0,-289690.0,5550,1.598,47.6,-43759.82,68749.85,24990.03
SF10060,Gujarat,Erode,Groundnut,Kharif,10.0,664.7,25.1,72.3,6.8,6.49,32.8,118.6,31.3,69.5,Flood,139.1,5.53,0.76,2.07,20.7,59223,619756,1225916.0,606160.0,7146,2.897,42.2,60616.0,61975.6,122591.6
SF10061,Karnataka,Guntur,Groundnut,Kharif,14.38,1002.0,27.9,63.0,5.5,6.62,30.2,127.4,61.8,86.2,Rainfed,194.4,5.01,0.97,1.73,24.88,53834,972766,1339390.0,366624.0,4408,5.644,66.6,25495.41,67647.15,93142.56
SF10062,Karnataka,Ludhiana,Cotton,Rabi,14.23,404.4,19.4,55.8,7.9,6.99,22.6,182.0,52.9,80.5,Drip,127.2,1.21,0.9,1.8,25.61,70385,815920,1802560.0,986640.0,9798,2.614,50.7,69335.21,57338.02,126673.23
SF10063,Andhra Pradesh,Warangal,Cotton,Zaid,5.46,148.5,31.2,59.9,7.7,6.31,21.5,81.9,56.0,124.3,Flood,157.7,3.34,0.7,0.91,4.97,66056,309945,328298.0,18353.0,4831,1.029,31.8,3361.36,56766.48,60127.84
SF10064,Tamil Nadu,Warangal,Rice,Kharif,3.95,1028.8,24.2,69.2,6.2,5.95,29.4,105.4,48.3,123.3,Flood,136.3,4.4,0.92,1.62,6.4,23591,258728,150982.0,-107746.0,8230,0.778,46.8,-27277.47,65500.76,38223.29
SF10065,Telangana,Indore,Pulses,Kharif,14.43,1012.7,30.2,65.2,7.9,6.71,23.2,102.9,66.6,93.5,Rainfed,276.7,5.63,0.97,0.99,14.29,86381,980375,1234384.0,254009.0,2290,6.24,53.6,17602.84,67940.06,85542.9
SF10066,Maharashtra,Rajkot,Groundnut,Rabi,7.49,234.8,20.5,49.1,8.4,6.55,30.3,84.7,72.9,72.2,Sprinkler,107.5,3.99,0.82,1.42,10.64,60410,506733,642762.0,136029.0,3460,3.075,59.9,18161.42,67654.61,85816.02
SF10067,Tamil Nadu,Rajkot,Wheat,Rabi,7.25,410.0,23.4,61.1,9.4,7.08,28.3,199.3,60.4,66.8,Flood,198.1,7.33,0.8,2.66,19.28,20402,542011,393351.0,-148660.0,4731,4.075,41.4,-20504.83,74760.14,54255.31
SF10068,Maharashtra,Ludhiana,Pulses,Rabi,5.28,498.8,26.9,51.3,7.5,6.21,29.0,152.6,48.9,95.2,Drip,114.7,5.33,0.69,1.37,7.23,71305,292198,515535.0,223337.0,1540,4.695,44.1,42298.67,55340.53,97639.2
SF10069,Andhra Pradesh,Raichur,Rice,Kharif,12.69,851.6,27.7,81.1,6.0,7.6,31.2,124.5,74.6,136.5,Flood,165.3,7.52,0.8,1.59,20.18,20502,865223,413730.0,-451493.0,22011,0.917,48.8,-35578.64,68181.48,32602.84
SF10070,Karnataka,Warangal,Maize,Kharif,2.82,960.7,27.6,68.2,8.9,7.29,35.7,111.9,65.9,104.9,Flood,139.8,2.74,0.66,2.73,7.7,23906,171757,184076.0,12319.0,2056,3.745,59.3,4368.44,60906.74,65275.18
SF10071,Maharashtra,Krishna,Cotton,Rabi,14.72,338.5,21.2,68.5,7.7,6.06,25.7,132.5,15.0,148.5,Drip,145.7,6.76,0.84,1.0,14.72,61717,960387,908474.0,-51913.0,9888,1.489,35.8,-3526.7,65243.68,61716.98
SF10072,Madhya Pradesh,Krishna,Maize,Rabi,1.48,342.0,19.3,62.5,8.2,6.73,31.4,112.7,75.1,112.8,Sprinkler,149.1,6.66,0.7,3.61,5.34,19548,105743,104386.0,-1357.0,916,5.83,29.3,-916.89,71447.97,70531.08
SF10073,Tamil Nadu,Krishna,Cotton,Kharif,7.37,765.5,26.4,89.0,6.4,7.28,30.3,119.2,63.4,140.7,Sprinkler,110.1,7.05,0.73,1.38,10.17,71337,478922,725497.0,246575.0,6169,1.649,55.2,33456.58,64982.63,98439.21
SF10074,Gujarat,Raichur,Maize,Rabi,1.41,80.0,26.2,64.6,7.6,6.76,30.1,85.8,38.5,128.9,Drip,121.9,6.85,0.95,3.26,4.6,19255,84476,88573.0,4097.0,777,5.92,26.7,2905.67,59912.06,62817.73
SF10075,Madhya Pradesh,Nalgonda,Wheat,Kharif,13.3,935.5,28.0,55.6,6.8,7.21,27.3,131.9,48.9,93.9,Drip,149.7,0.64,0.72,2.77,36.84,22812,657906,840394.0,182488.0,5715,6.446,59.0,13720.9,49466.62,63187.52
SF10076,Maharashtra,Guntur,Sugarcane,Kharif,10.64,869.0,33.2,82.3,5.6,6.42,37.4,148.0,104.4,90.2,Flood,212.2,5.8,0.79,62.58,665.85,3651,755288,2431018.0,1675730.0,23608,28.204,58.8,157493.42,70985.71,228479.14
SF10077,Gujarat,Erode,Rice,Kharif,9.53,895.9,29.3,69.4,6.7,6.55,33.2,97.8,56.4,132.2,Flood,194.7,4.54,0.82,3.51,33.45,24003,693617,802900.0,109283.0,15015,2.228,46.1,11467.26,72782.48,84249.74
SF10078,Punjab,Nashik,Rice,Kharif,12.47,752.1,30.0,79.9,7.6,5.69,35.2,107.1,72.0,59.2,Drip,302.2,3.21,0.83,1.21,15.09,20835,870507,314400.0,-556107.0,17522,0.861,52.0,-44595.59,69808.1,25212.51
SF10079,Madhya Pradesh,Nalgonda,Chilli,Rabi,10.0,288.6,23.8,61.1,6.9,6.65,26.4,151.5,67.7,182.6,Flood,154.3,1.94,0.9,2.18,21.8,106176,681239,2314637.0,1633398.0,6656,3.275,48.4,163339.8,68123.9,231463.7
SF10080,Karnataka,Nashik,Sugarcane,Zaid,9.29,353.9,30.6,46.8,9.1,7.31,8.4,126.5,100.8,101.3,Rainfed,167.2,3.45,0.9,33.55,311.68,3955,541528,1232694.0,691166.0,8213,37.95,31.2,74398.92,58291.5,132690.42
SF10081,Gujarat,Ludhiana,Wheat,Rabi,9.89,336.6,21.1,47.1,7.6,6.98,21.9,131.3,60.5,132.2,Drip,137.0,6.19,0.7,2.45,24.23,24188,543083,586075.0,42992.0,4311,5.621,31.4,4347.02,54912.34,59259.35
SF10082,Madhya Pradesh,Nalgonda,Chilli,Kharif,4.98,840.8,28.0,70.9,7.9,5.66,28.3,134.4,46.7,94.8,Flood,151.4,7.02,0.77,0.6,2.99,101883,291542,304630.0,13088.0,4366,0.685,53.4,2628.11,58542.57,61170.68
SF10083,Andhra Pradesh,Raichur,Sugarcane,Rabi,2.46,629.3,23.5,47.5,8.9,6.32,27.2,158.9,44.2,116.8,Rainfed,139.4,6.41,0.83,49.52,121.82,3654,165909,445130.0,279221.0,2611,46.656,35.2,113504.47,67442.68,180947.15
SF10084,Karnataka,Warangal,Pulses,Rabi,7.06,347.6,24.4,51.4,6.9,6.69,19.7,121.2,40.0,78.1,Sprinkler,128.3,4.81,0.76,1.01,7.13,74942,364864,534336.0,169472.0,2392,2.981,44.1,24004.53,51680.45,75684.99
SF10085,Telangana,Guntur,Wheat,Rabi,14.18,306.6,24.3,49.5,7.9,6.68,24.0,161.0,49.7,135.6,Rainfed,173.4,9.13,0.9,2.54,36.02,22904,958688,825002.0,-133686.0,4746,7.59,33.9,-9427.79,67608.46,58180.68
SF10086,Telangana,Krishna,Rice,Kharif,11.43,1007.5,27.9,63.6,6.3,6.4,26.3,83.8,47.9,124.7,Flood,249.6,2.55,0.98,3.33,38.06,17866,836159,679980.0,-156179.0,17890,2.127,54.5,-13663.95,73154.77,59490.81
SF10087,Gujarat,Guntur,Wheat,Kharif,2.94,999.5,31.1,77.8,8.0,6.92,39.9,143.0,51.8,94.6,Sprinkler,132.4,4.74,0.9,2.65,7.79,24206,176531,188565.0,12034.0,1608,4.845,48.3,4093.2,60044.56,64137.76
SF10088,Madhya Pradesh,Warangal,Chilli,Kharif,5.72,931.0,28.2,70.2,8.9,6.93,27.8,77.7,68.9,107.2,Rainfed,236.9,5.57,0.8,1.98,11.33,109884,453409,1244986.0,791577.0,1628,6.959,55.9,138387.59,79267.31,217654.9
SF10089,Andhra Pradesh,Raichur,Chilli,Kharif,13.29,782.6,22.9,55.5,5.9,6.55,37.3,80.3,58.6,92.0,Rainfed,106.8,8.08,0.82,2.19,29.11,92503,635701,2692762.0,2057061.0,4522,6.437,34.3,154782.62,47833.03,202615.65
SF10090,Madhya Pradesh,Indore,Rice,Rabi,13.57,281.2,24.2,49.5,7.6,6.53,20.7,121.1,51.8,83.1,Drip,207.9,4.54,0.99,3.39,46.0,19221,896302,884166.0,-12136.0,20830,2.208,37.6,-894.33,66050.26,65155.93
SF10091,Telangana,Guntur,Cotton,Rabi,10.09,599.6,23.8,66.7,8.0,6.04,28.3,122.9,81.9,73.5,Drip,173.1,7.97,0.8,1.39,14.03,60616,643648,850442.0,206794.0,5719,2.453,46.4,20494.95,63790.68,84285.63
SF10092,Gujarat,Erode,Pulses,Rabi,12.32,683.4,29.7,37.8,7.5,6.7,21.8,111.9,54.0,65.2,Flood,117.7,5.41,0.91,1.58,19.47,58916,727065,1147095.0,420030.0,5323,3.658,35.7,34093.34,59015.02,93108.36
SF10093,Gujarat,Guntur,Sugarcane,Kharif,12.74,973.7,29.9,57.5,7.4,6.65,25.8,110.1,57.6,89.8,Drip,134.0,4.39,0.72,70.23,894.73,3671,856862,3284554.0,2427692.0,18596,48.114,51.9,190556.67,67257.61,257814.29
SF10094,Punjab,Nalgonda,Rice,Zaid,10.27,460.2,31.7,44.2,9.0,6.64,17.3,118.0,55.5,112.6,Flood,247.2,5.92,0.79,3.27,33.58,24002,766612,805987.0,39375.0,18301,1.835,17.1,3833.98,74645.76,78479.75
SF10095,Maharashtra,Indore,Groundnut,Kharif,4.03,1096.7,27.3,82.9,7.6,6.48,32.8,146.1,40.3,82.4,Rainfed,232.1,6.66,0.77,1.5,6.04,64834,258458,391597.0,133139.0,731,8.263,59.4,33036.97,64133.5,97170.47
SF10096,Gujarat,Warangal,Pulses,Kharif,3.76,950.0,25.5,84.0,5.8,6.33,33.7,140.9,62.8,130.3,Flood,150.0,3.28,0.95,1.21,4.55,70036,223965,318664.0,94699.0,1828,2.489,56.8,25185.9,59565.16,84751.06
SF10097,Tamil Nadu,Guntur,Pulses,Kharif,10.41,585.6,29.2,70.1,7.1,7.64,34.6,98.5,72.5,135.0,Drip,164.5,4.97,0.96,0.55,5.73,82936,684024,475223.0,-208801.0,3010,1.904,45.5,-20057.73,65708.36,45650.62
SF10098,Maharashtra,Ludhiana,Groundnut,Kharif,9.1,652.8,25.0,77.5,7.6,7.23,29.9,98.3,42.8,126.9,Rainfed,253.1,3.82,0.79,1.42,12.92,53588,545378,692357.0,146979.0,2681,4.819,61.5,16151.54,59931.65,76083.19
